pert_id,MOA
BRD-K45158365,Angiotensin Receptor_Inhibitor
BRD-A65671304,Angiotensin Receptor_Inhibitor
BRD-K17849083,Angiotensin Receptor_Inhibitor
BRD-K66198023,Angiotensin Receptor_Inhibitor
BRD-A63836183,Angiotensin Receptor_Inhibitor
BRD-K78485176,Angiotensin Receptor_Inhibitor
BRD-K19533706,Angiotensin Receptor_Inhibitor
BRD-A14792000,Angiotensin Receptor_Inhibitor
BRD-K60038276,Angiotensin Receptor_Inhibitor
BRD-K34441861,Angiotensin-converting Enzyme (ACE)_Inhibitor
BRD-K72222507,Angiotensin-converting Enzyme (ACE)_Inhibitor
BRD-K89348303,Angiotensin-converting Enzyme (ACE)_Inhibitor
BRD-K54529596,Angiotensin-converting Enzyme (ACE)_Inhibitor
BRD-K92731339,Angiotensin-converting Enzyme (ACE)_Inhibitor
BRD-A65739223,Angiotensin-converting Enzyme (ACE)_Inhibitor
BRD-A15131297,Angiotensin-converting Enzyme (ACE)_Inhibitor
BRD-K57545991,Angiotensin-converting Enzyme (ACE)_Inhibitor
BRD-K88429204,Antifolate_Inhibitor
BRD-K55395145,Antifolate_Inhibitor
BRD-K59456551,Antifolate_Inhibitor
BRD-K25311561,ATM/ATR_Inhibitor
BRD-A75409952,ATM/ATR_Inhibitor
BRD-K87343924,ATM/ATR_Inhibitor
BRD-A90451247,ATM/ATR_Inhibitor
BRD-A11678676,ATM/ATR_Inhibitor
BRD-K15600710,Bcl-2 Family_Inhibitor
BRD-K56301217,Bcl-2 Family_Inhibitor
BRD-K82746043,Bcl-2 Family_Inhibitor
BRD-K28360340,Bcl-2 Family_Inhibitor
BRD-K19295594,Bcl-2 Family_Inhibitor
BRD-A38913120,Bcl-2 Family_Inhibitor
BRD-A71799696,Bcl-2 Family_Inhibitor
BRD-A97674275,Calcium Channel_Inhibitor
BRD-K48300629,Calcium Channel_Inhibitor
BRD-K44067360,Calcium Channel_Inhibitor
BRD-K07220430,Calcium Channel_Inhibitor
BRD-A58048407,Calcium Channel_Inhibitor
BRD-A63445921,Calcium Channel_Inhibitor
BRD-A24891640,Calcium Channel_Inhibitor
BRD-K15409150,Calcium Channel_Inhibitor
BRD-K96354014,Calcium Channel_Inhibitor
BRD-A30977374,Calcium Channel_Inhibitor
BRD-A26711594,Calcium Channel_Inhibitor
BRD-K62858456,Calcium Channel_Inhibitor
BRD-A02006392,Calcium Channel_Inhibitor
BRD-A22032524,Calcium Channel_Inhibitor
BRD-K78122587,Calcium Channel_Inhibitor
BRD-A96107863,Calcium Channel_Inhibitor
BRD-K69023402,Calcium Channel_Inhibitor
BRD-A07875874,Calcium Channel_Inhibitor
BRD-A62809825,Calcium Channel_Inhibitor
BRD-K12184470,Calcium Channel_Inhibitor
BRD-A64297288,Calcium Channel_Inhibitor
BRD-K49404994,Calcium Channel_Inhibitor
BRD-K24023109,Calcium Channel_Inhibitor
BRD-A52282606,Calcium Channel_Inhibitor
BRD-A69636825,Calcium Channel_Inhibitor
BRD-A91008255,Calcium Channel_Inhibitor
BRD-K09549677,Calcium Channel_Inhibitor
BRD-A48631911,Calcium Channel_Inhibitor
BRD-K93480852,CaMK_Inhibitor
BRD-A81177136,CaMK_Inhibitor
BRD-K52620403,CaMK_Inhibitor
BRD-K39356024,Cannabinoid Receptor_Inhibitor
BRD-A35912562,Cannabinoid Receptor_Inhibitor
BRD-K43880410,Cannabinoid Receptor_Inhibitor
BRD-K71499074,Carbonic Anhydrase_Inhibitor
BRD-K13356952,Carbonic Anhydrase_Inhibitor
BRD-K74913225,Carbonic Anhydrase_Inhibitor
BRD-A04352665,CCR_Inhibitor
BRD-M72442222,CCR_Inhibitor
BRD-K87510569,CCR_Inhibitor
BRD-K37312348,CDK_Inhibitor
BRD-K04923131,CDK_Inhibitor
BRD-K50836978,CDK_Inhibitor
BRD-K87909389,CDK_Inhibitor
BRD-K11636097,CDK_Inhibitor
BRD-K51313569,CDK_Inhibitor
BRD-K72414522,CDK_Inhibitor
BRD-K41564320,CDK_Inhibitor
BRD-K78373679,CDK_Inhibitor
BRD-K07691486,CDK_Inhibitor
BRD-K64800655,CDK_Inhibitor
BRD-K95435023,c-Met/HGFR_Inhibitor
BRD-K78431006,c-Met/HGFR_Inhibitor
BRD-K40738845,c-Met/HGFR_Inhibitor
BRD-K02123250,c-Met/HGFR_Inhibitor
BRD-K73319509,c-Met/HGFR_Inhibitor
BRD-K03449891,c-Met/HGFR_Inhibitor
BRD-K33379087,c-Met/HGFR_Inhibitor
BRD-K77390737,COX_Inhibitor
BRD-K44067360,COX_Inhibitor
BRD-K08252256,COX_Inhibitor
BRD-K22031190,COX_Inhibitor
BRD-K03600606,COX_Inhibitor
BRD-K12994359,COX_Inhibitor
BRD-K57222227,COX_Inhibitor
BRD-A74667430,COX_Inhibitor
BRD-K25394294,COX_Inhibitor
BRD-A22844106,COX_Inhibitor
BRD-A17655518,COX_Inhibitor
BRD-K68558722,COX_Inhibitor
BRD-K02637541,COX_Inhibitor
BRD-A16998493,COX_Inhibitor
BRD-A84174393,COX_Inhibitor
BRD-A57382968,COX_Inhibitor
BRD-K92778217,COX_Inhibitor
BRD-A40639672,COX_Inhibitor
BRD-K13800121,COX_Inhibitor
BRD-K14767410,COX_Inhibitor
BRD-K49668410,Cytochrome P450_Inhibitor
BRD-K11129031,Cytochrome P450_Inhibitor
BRD-K12057390,Cytochrome P450_Inhibitor
BRD-A79803969,Cytochrome P450_Inhibitor
BRD-K01493881,Cytochrome P450_Inhibitor
BRD-K46862739,Cytochrome P450_Inhibitor
BRD-K02953697,Cytochrome P450_Inhibitor
BRD-A76019558,Cytochrome P450_Inhibitor
BRD-K29113274,Cytochrome P450_Inhibitor
BRD-A72441487,Cytochrome P450_Inhibitor
BRD-A12409803,Cytochrome P450_Inhibitor
BRD-K45988865,Cytochrome P450_Inhibitor
BRD-K46317332,Cytochrome P450_Inhibitor
BRD-K63430059,Cytochrome P450_Inhibitor
BRD-A09722536,DNA Alkylator/Crosslinker
BRD-K23204545,DNA Alkylator/Crosslinker
BRD-K00317371,DNA Alkylator/Crosslinker
BRD-K67043667,DNA Alkylator/Crosslinker
BRD-K32107296,DNA Alkylator/Crosslinker
BRD-A48237631,DNA Alkylator/Crosslinker
BRD-K51418664,DNA Alkylator/Crosslinker
BRD-K13032584,DNA Alkylator/Crosslinker
BRD-K29458283,DNA Alkylator/Crosslinker
BRD-A01145011,DNA Methyltransferase_Inhibitor
BRD-K79254416,DNA Methyltransferase_Inhibitor
BRD-K37691127,DNA Methyltransferase_Inhibitor
BRD-K75615183,Dopamine Receptor_Activator
BRD-K43887077,Dopamine Receptor_Activator
BRD-K47936004,Dopamine Receptor_Activator
BRD-A80151636,Dopamine Receptor_Activator
BRD-K86882815,Dopamine Receptor_Activator
BRD-A69960130,Dopamine Receptor_Activator
BRD-A63043573,Dopamine Receptor_Activator
BRD-A60274948,Dopamine Receptor_Activator
BRD-K06388322,Dopamine Receptor_Activator
BRD-A50684349,Dopamine Receptor_Activator
BRD-K47761761,Dopamine Receptor_Activator
BRD-A85280935,Dopamine Receptor_Activator
BRD-K26548821,Dopamine Receptor_Activator
BRD-K60770992,Dopamine Receptor_Activator
BRD-K89997465,Dopamine Receptor_Inhibitor
BRD-K48722833,Dopamine Receptor_Inhibitor
BRD-A84481105,Dopamine Receptor_Inhibitor
BRD-K68867920,Dopamine Receptor_Inhibitor
BRD-K29582115,Dopamine Receptor_Inhibitor
BRD-K53857191,Dopamine Receptor_Inhibitor
BRD-K10995081,Dopamine Receptor_Inhibitor
BRD-K01292756,Dopamine Receptor_Inhibitor
BRD-K63675182,Dopamine Receptor_Inhibitor
BRD-A43940795,Dopamine Receptor_Inhibitor
BRD-A65280694,Dopamine Receptor_Inhibitor
BRD-K45861246,Dopamine Receptor_Inhibitor
BRD-K28761384,Dopamine Receptor_Inhibitor
BRD-K52989797,Dopamine Receptor_Inhibitor
BRD-K15933101,Dopamine Receptor_Inhibitor
BRD-A10715913,Dopamine Receptor_Inhibitor
BRD-K89732114,Dopamine Receptor_Inhibitor
BRD-K97158071,Dopamine Receptor_Inhibitor
BRD-K55127134,Dopamine Receptor_Inhibitor
BRD-K34415467,Dopamine Receptor_Inhibitor
BRD-K75641298,Dopamine Receptor_Inhibitor
BRD-K67783091,Dopamine Receptor_Inhibitor
BRD-K38305202,Dopamine Receptor_Inhibitor
BRD-A29644307,Dopamine Receptor_Inhibitor
BRD-K53987533,Dopamine Receptor_Inhibitor
BRD-K51671335,Dopamine Receptor_Inhibitor
BRD-K37289225,Dopamine Receptor_Inhibitor
BRD-K59058766,Dopamine Receptor_Inhibitor
BRD-K06980535,Dopamine Receptor_Inhibitor
BRD-A60197193,Dopamine Receptor_Inhibitor
BRD-K60762818,Dopamine Transporter_Inhibitor
BRD-K50135270,Dopamine Transporter_Inhibitor
BRD-K32501161,Dopamine Transporter_Inhibitor
BRD-K66175015,EGFR_Inhibitor
BRD-K17497770,EGFR_Inhibitor
BRD-K47105409,EGFR_Inhibitor
BRD-K64052750,EGFR_Inhibitor
BRD-K12357156,EGFR_Inhibitor
BRD-K70401845,EGFR_Inhibitor
BRD-M07438658,EGFR_Inhibitor
BRD-A58767537,EGFR_Inhibitor
BRD-K43797669,EGFR_Inhibitor
BRD-K19687926,EGFR_Inhibitor
BRD-A36151937,EGFR_Inhibitor
BRD-K08799216,EGFR_Inhibitor
BRD-K76908866,EGFR_Inhibitor
BRD-K73293050,EGFR_Inhibitor
BRD-K85606544,EGFR_Inhibitor
BRD-K50168500,EGFR_Inhibitor
BRD-K68336408,EGFR_Inhibitor
BRD-K49657628,EGFR_Inhibitor
BRD-K72783841,EGFR_Inhibitor
BRD-K50859149,Endothelin Receptor_Inhibitor
BRD-K74763371,Endothelin Receptor_Inhibitor
BRD-K31553034,Endothelin Receptor_Inhibitor
BRD-A34907681,ERK_Inhibitor
BRD-K20482099,ERK_Inhibitor
BRD-K68756823,ERK_Inhibitor
BRD-A18917088,Estrogen Receptor/ERR_Activator
BRD-A37959677,Estrogen Receptor/ERR_Activator
BRD-A23226398,Estrogen Receptor/ERR_Activator
BRD-K81839095,Estrogen Receptor/ERR_Activator
BRD-K18910433,Estrogen Receptor/ERR_Activator
BRD-K31920458,Estrogen Receptor/ERR_Activator
BRD-K95309561,Estrogen Receptor/ERR_Activator
BRD-A88080608,Estrogen Receptor/ERR_Activator
BRD-A27143604,Estrogen Receptor/ERR_Activator
BRD-K51095933,Estrogen Receptor/ERR_Activator
BRD-A36066264,Estrogen Receptor/ERR_Activator
BRD-K45330754,Estrogen Receptor/ERR_Activator
BRD-A14798026,Estrogen Receptor/ERR_Activator
BRD-A68039575,Estrogen Receptor/ERR_Activator
BRD-A22143024,Estrogen Receptor/ERR_Activator
BRD-K04046242,Estrogen Receptor/ERR_Activator
BRD-A18620900,Estrogen Receptor/ERR_Inhibitor
BRD-K17016787,Estrogen Receptor/ERR_Inhibitor
BRD-A84205515,Estrogen Receptor/ERR_Inhibitor
BRD-A90490067,Estrogen Receptor/ERR_Inhibitor
BRD-K29950728,Estrogen Receptor/ERR_Inhibitor
BRD-K04210847,Estrogen Receptor/ERR_Inhibitor
BRD-K04218075,Estrogen Receptor/ERR_Inhibitor
BRD-K97509413,Estrogen Receptor/ERR_Inhibitor
BRD-K43744935,Estrogen Receptor/ERR_Inhibitor
BRD-K93754473,Estrogen Receptor/ERR_Inhibitor
BRD-K76568384,Estrogen Receptor/ERR_Inhibitor
BRD-K63828191,Estrogen Receptor/ERR_Inhibitor
BRD-A94793051,Estrogen Receptor/ERR_Inhibitor
BRD-A91452556,Estrogen Receptor/ERR_Inhibitor
BRD-K04210847,Estrogen Receptor/ERR_Modulator
BRD-K43744935,Estrogen Receptor/ERR_Modulator
BRD-K93754473,Estrogen Receptor/ERR_Modulator
BRD-K51350053,Estrogen Receptor/ERR_Modulator
BRD-A17411484,FAAH_Inhibitor
BRD-K68997413,FAAH_Inhibitor
BRD-K28075147,FAAH_Inhibitor
BRD-K59256312,Factor Xa_Inhibitor
BRD-K19525698,Factor Xa_Inhibitor
BRD-K37130656,Factor Xa_Inhibitor
BRD-K53061490,Factor Xa_Inhibitor
BRD-K75532464,Farnesyl Transferase_Inhibitor
BRD-K63195589,Farnesyl Transferase_Inhibitor
BRD-K62965247,Farnesyl Transferase_Inhibitor
BRD-K85402309,FGFR_Inhibitor
BRD-K74514084,FGFR_Inhibitor
BRD-K44227013,FGFR_Inhibitor
BRD-K55966568,FGFR_Inhibitor
BRD-K49075727,FGFR_Inhibitor
BRD-K91696562,FGFR_Inhibitor
BRD-K64245000,FXR_Activator
BRD-K34170797,FXR_Activator
BRD-K18135438,FXR_Activator
BRD-A84389091,GABA Receptor_Activator
BRD-K32247306,GABA Receptor_Activator
BRD-A54880345,GABA Receptor_Activator
BRD-K21283037,GABA Receptor_Inhibitor
BRD-K98769987,GABA Receptor_Inhibitor
BRD-K93280214,GABA Receptor_Inhibitor
BRD-K79905821,GABA Receptor_Inhibitor
BRD-M47793593,GABA Receptor_Inhibitor
BRD-A37817666,GABA Receptor_Inhibitor
BRD-K73978287,Glucocorticoid Receptor_Activator
BRD-A75172220,Glucocorticoid Receptor_Activator
BRD-A46186775,Glucocorticoid Receptor_Activator
BRD-K93568044,Glucocorticoid Receptor_Activator
BRD-A07000685,Glucocorticoid Receptor_Activator
BRD-A25143711,Glucocorticoid Receptor_Activator
BRD-A65767837,Glucocorticoid Receptor_Activator
BRD-K35240538,Glucocorticoid Receptor_Activator
BRD-K38775274,Glucocorticoid Receptor_Activator
BRD-A35108200,Glucocorticoid Receptor_Activator
BRD-K47635719,Glucocorticoid Receptor_Activator
BRD-A69951442,Glucocorticoid Receptor_Activator
BRD-A10188456,Glucocorticoid Receptor_Activator
BRD-A93424738,Glucocorticoid Receptor_Activator
BRD-A60571864,Glucocorticoid Receptor_Activator
BRD-A82238138,Glucocorticoid Receptor_Activator
BRD-A92177080,Glucocorticoid Receptor_Activator
BRD-A02180903,Glucocorticoid Receptor_Activator
BRD-A16478930,Glucocorticoid Receptor_Activator
BRD-K86161929,Glucocorticoid Receptor_Activator
BRD-A27887842,Glucocorticoid Receptor_Activator
BRD-A54487287,Glucocorticoid Receptor_Activator
BRD-K43736954,Glucocorticoid Receptor_Activator
BRD-A01643550,Glucocorticoid Receptor_Activator
BRD-A34299591,Glucocorticoid Receptor_Activator
BRD-A65449987,Glucocorticoid Receptor_Activator
BRD-K39188321,Glucocorticoid Receptor_Activator
BRD-A36010170,Glucocorticoid Receptor_Activator
BRD-A17448384,Glucocorticoid Receptor_Activator
BRD-A62525898,Glucocorticoid Receptor_Activator
BRD-A15297126,Glucocorticoid Receptor_Activator
BRD-K97810537,Glucocorticoid Receptor_Activator
BRD-K57886322,Glucocorticoid Receptor_Activator
BRD-A78391468,Glucocorticoid Receptor_Activator
BRD-K49577446,Glucocorticoid Receptor_Activator
BRD-A44780397,Glucocorticoid Receptor_Inhibitor
BRD-K37270826,Glucocorticoid Receptor_Inhibitor
BRD-A92439610,Glucocorticoid Receptor_Inhibitor
BRD-K77554836,Glucocorticoid Receptor_Inhibitor
BRD-A37780065,Glucocorticoid Receptor_Inhibitor
BRD-A30717181,Glucocorticoid Receptor_Inhibitor
BRD-K53790871,Glucocorticoid Receptor_Inhibitor
BRD-K76805682,GSK-3_Inhibitor
BRD-K37312348,GSK-3_Inhibitor
BRD-K59184148,GSK-3_Inhibitor
BRD-K04923131,GSK-3_Inhibitor
BRD-K67860401,GSK-3_Inhibitor
BRD-K16189898,GSK-3_Inhibitor
BRD-K22503835,HDAC_Inhibitor
BRD-K56957086,HDAC_Inhibitor
BRD-K17743125,HDAC_Inhibitor
BRD-K02130563,HDAC_Inhibitor
BRD-K77908580,HDAC_Inhibitor
BRD-K41260949,HDAC_Inhibitor
BRD-K16485616,HDAC_Inhibitor
BRD-K81418486,HDAC_Inhibitor
BRD-K00627859,HDAC_Inhibitor
BRD-A58955223,HDAC_Inhibitor
BRD-K52522949,HDAC_Inhibitor
BRD-K67102207,HDAC_Inhibitor
BRD-K98426715,HDAC_Inhibitor
BRD-K68202742,HDAC_Inhibitor
BRD-K11558771,HDAC_Inhibitor
BRD-K13810148,HDAC_Inhibitor
BRD-A19037878,HDAC_Inhibitor
BRD-K10995081,Histamine Receptor_Inhibitor
BRD-K55703048,Histamine Receptor_Inhibitor
BRD-K47278471,Histamine Receptor_Inhibitor
BRD-K30240666,Histamine Receptor_Inhibitor
BRD-K18618618,Histamine Receptor_Inhibitor
BRD-K14204120,Histamine Receptor_Inhibitor
BRD-A68723818,Histamine Receptor_Inhibitor
BRD-K70505054,Histamine Receptor_Inhibitor
BRD-A23072235,Histamine Receptor_Inhibitor
BRD-K89595132,Histamine Receptor_Inhibitor
BRD-A68888262,Histamine Receptor_Inhibitor
BRD-K57033106,Histamine Receptor_Inhibitor
BRD-K73589491,Histamine Receptor_Inhibitor
BRD-K00673382,Histamine Receptor_Inhibitor
BRD-A19661776,Histamine Receptor_Inhibitor
BRD-K67637637,Histamine Receptor_Inhibitor
BRD-K97564742,Histamine Receptor_Inhibitor
BRD-A42571354,Histamine Receptor_Inhibitor
BRD-K34157611,Histamine Receptor_Inhibitor
BRD-K28936863,Histamine Receptor_Inhibitor
BRD-K46652470,Histamine Receptor_Inhibitor
BRD-A46335897,Histamine Receptor_Inhibitor
BRD-K07220430,Histamine Receptor_Inhibitor
BRD-K82357231,Histamine Receptor_Inhibitor
BRD-K91315211,Histamine Receptor_Inhibitor
BRD-A73368467,Histamine Receptor_Inhibitor
BRD-K30816563,Histamine Receptor_Inhibitor
BRD-K26818574,Histone Methyltransferase_Inhibitor
BRD-A85860691,Histone Methyltransferase_Inhibitor
BRD-K26863634,Histone Methyltransferase_Inhibitor
BRD-K22134346,HMG-CoA Reductase (HMGCR)_Inhibitor
BRD-K66296774,HMG-CoA Reductase (HMGCR)_Inhibitor
BRD-A81772229,HMG-CoA Reductase (HMGCR)_Inhibitor
BRD-K94441233,HMG-CoA Reductase (HMGCR)_Inhibitor
BRD-A71816415,HMG-CoA Reductase (HMGCR)_Inhibitor
BRD-K82941592,HMG-CoA Reductase (HMGCR)_Inhibitor
BRD-K30097969,HMG-CoA Reductase (HMGCR)_Inhibitor
BRD-U88459701,HMG-CoA Reductase (HMGCR)_Inhibitor
BRD-A82307304,HMG-CoA Reductase (HMGCR)_Inhibitor
BRD-A70155556,HMG-CoA Reductase (HMGCR)_Inhibitor
BRD-K09416995,HMG-CoA Reductase (HMGCR)_Inhibitor
BRD-A11170096,HMG-CoA Reductase (HMGCR)_Inhibitor
BRD-K60511616,HMG-CoA Reductase (HMGCR)_Inhibitor
BRD-K81473043,HSP_Inhibitor
BRD-A61304759,HSP_Inhibitor
BRD-K32330832,HSP_Inhibitor
BRD-K51967704,HSP_Inhibitor
BRD-K83988098,HSP_Inhibitor
BRD-A19500257,HSP_Inhibitor
BRD-K36529613,HSP_Inhibitor
BRD-A79803969,iGluR_Inhibitor
BRD-A61392169,iGluR_Inhibitor
BRD-K59753853,iGluR_Inhibitor
BRD-K50720187,iGluR_Inhibitor
BRD-K53545112,iGluR_Inhibitor
BRD-A31800922,iGluR_Inhibitor
BRD-K51541829,iGluR_Inhibitor
BRD-K85266041,iGluR_Inhibitor
BRD-K99107520,iGluR_Inhibitor
BRD-K47717570,iGluR_Inhibitor
BRD-A53576514,iGluR_Inhibitor
BRD-K08109516,iGluR_Inhibitor
BRD-K80738081,IKK_Inhibitor
BRD-K25591257,IKK_Inhibitor
BRD-K26373640,IKK_Inhibitor
BRD-K51575138,IKK_Inhibitor
BRD-K14618467,IKK_Inhibitor
BRD-K13566078,IKK_Inhibitor
BRD-K08589866,Insulin Receptor_Inhibitor
BRD-K34581968,Insulin Receptor_Inhibitor
BRD-K07667918,Insulin Receptor_Inhibitor
BRD-K13049116,Insulin Receptor_Inhibitor
BRD-K53972329,JAK_Inhibitor
BRD-A30655177,JAK_Inhibitor
BRD-A28105619,JAK_Inhibitor
BRD-K31283835,JAK_Inhibitor
BRD-A49680073,JAK_Inhibitor
BRD-A34907681,JNK_Inhibitor
BRD-K73982490,JNK_Inhibitor
BRD-K20482099,JNK_Inhibitor
BRD-A31312900,Leukotriene Receptor_Inhibitor
BRD-K69470111,Leukotriene Receptor_Inhibitor
BRD-K71289571,Leukotriene Receptor_Inhibitor
BRD-A62035778,mAChR_Inhibitor
BRD-A49906757,mAChR_Inhibitor
BRD-K89923877,mAChR_Inhibitor
BRD-A14566392,mAChR_Inhibitor
BRD-A65013509,mAChR_Inhibitor
BRD-A00546892,mAChR_Inhibitor
BRD-A79672927,mAChR_Inhibitor
BRD-A97479839,mAChR_Inhibitor
BRD-A81233518,mAChR_Inhibitor
BRD-K74195153,mAChR_Inhibitor
BRD-A36471396,mAChR_Inhibitor
BRD-K47639036,mAChR_Inhibitor
BRD-K01663662,mAChR_Inhibitor
BRD-A54596827,mAChR_Inhibitor
BRD-A38913120,MDM-2/p53_MDM2 Inhibitor
